name,ra,dec,time,fluence
GRB 990221-,35.9,-66.11,51230.04051,4.18E-07
GRB 990814-,154.78,-66.08,51404.38691,
4B 910705-,24.03,-65.98,48442.00628,2.22E-08
4B 940902-,215.42,-65.97,49597.7084,1.50E-06
4B 960615-,295.47,-65.97,50249.99903,0.000000204
4B 930809-,163.39,-65.83,49208.10089,1.32E-08
GRB 980218-,217.33,-65.8,50862.99148,NaN
4B 920720-,258.4,-65.77,48823.31464,NaN
GRB 970809-,159.3,-65.52,50669.6516,5.94E-08
4B 950510,188.57,-65.48,49847.325,5.08E-07
GRB 990611-,282.12,-65.44,51340.21327,0.000000149
4B 920414-,300,-65.15,48726.77635,3.79E-07
4B 941229-,72.94,-64.96,49715.59655,9.67E-09
GRB 980129,287.43,-64.92,50842.63869,9.95E-07
4B 940716-,238.49,-64.84,49549.40227,1.28E-06
4B 950111-,336.24,-64.78,49728.19981,0.00000269
4B 920619-,140.17,-64.71,48792.35627,1.04E-06
4B 950830-,330.07,-64.67,49959.43507,1.19E-06
GRB 961224-,182.84,-64.64,50441.73737,2.57E-07
4B 910814-,163.81,-64.63,48482.58262,4.03E-07
4B 960202,215.04,-64.63,50115.5874,0.000001023
GRB 970715,270.47,-64.56,50644.516,7.65E-08
4B 920617-,100.69,-64.52,48790.15588,1.34E-06
4B 910813,39.41,-64.49,48481.56695,2.65E-07
4B 960325-,131.64,-64.37,50167.69943,NaN
GRB 991105,167.8,-64.18,51487.69496,1.00E-06
4B 950303,113.58,-63.96,49779.26897,NaN
4B 940118,287.7,-63.94,49370.45603,3.87E-08
GRB 971013-,221.75,-63.87,50734.99802,NaN
GRB 980226,95.81,-63.74,50870.68913,2.54E-07
GRB 990604-,69.81,-63.61,51333.69553,1.55E-06
GRB 970519,213.46,-63.58,50587.54268,1.39E-07
GRB 981027,339.94,-63.58,51113.97532,1.13E-06
4B 910821,292.46,-63.52,48489.07128,0.000001137
4B 930503-,198.33,-63.52,49110.27258,2.18E-06
GRB 000326-,270.84,-63.47,51629.64266,3.95E-07
4B 960523-,46.75,-63.32,50226.68891,5.42E-06
GRB 990930,11.63,-63.25,51451.95875,0.00000033
GRB 960908,187.19,-63.23,50334.58469,2.39E-06
4B 921127,129.03,-63.15,48953.00564,9.70E-08
4B 950421,72.01,-63.06,49828.52071,2.17E-06
4B 941126-,13.81,-63.05,49682.01441,1.63E-07
GRB 970419,240.42,-63.04,50557.2585,0.000001563
4B 940911,35.53,-63.03,49606.68588,2.33E-07
GRB 000420-,313.81,-63.01,51654.75047,4.05E-07
4B 940521-,129.19,-63.01,49493.4898,0.000000424
GRB 990315-,5.71,-63,51252.69133,9.43E-07
4B 950105,23.31,-62.86,49722.22839,1.45E-06
4B 940730,348.14,-62.86,49563.76208,0.000002328
4B 910525,216.03,-62.82,48401.81005,9.86E-06
GRB 991020,261.52,-62.8,51471.5697,1.36E-07
GRB 980124-,192.2,-62.7,50837.87267,6.36E-07
4B 930316,12.82,-62.67,49062.94766,0.000000582
4B 920613-,352.55,-62.6,48786.8523,NaN
4B 940720,145.94,-62.53,49553.38432,5.22E-07
GRB 980401-,198.55,-62.39,50904.53223,0.000001454
4B 940624-,282.45,-62.39,49527.60642,0.000008611
GRB 980126,245.65,-62.32,50839.86185,0.000000293
4B 910608,239.12,-62.25,48415.96806,2.68E-07
4B 920305-,247.67,-62.14,48686.40828,2.57E-07
GRB 990523-,130.95,-62.09,51321.23884,4.66E-07
4B 931018,241.24,-62.02,49278.24624,NaN
4B 960312,237.37,-61.97,50154.53281,1.84E-07
4B 920622-,54.16,-61.82,48795.26948,3.50E-08
4B 930220,209.12,-61.75,49038.06596,7.89E-08
GRB 991121,301.59,-61.57,51503.47343,7.11E-06
GRB 991101-,203.49,-61.33,51483.1803,NaN
GRB 990618,214.66,-61.31,51347.16246,1.20E-06
4B 941126-,264.74,-61.3,49682.51529,NaN
4B 950819,339.48,-61.25,49948.98304,0.000001068
4B 960102,64.32,-60.97,50084.84785,1.41E-06
GRB 970514,67.61,-60.89,50582.09325,1.02E-07
4B 940803-,111.87,-60.89,49567.05781,NaN
GRB 980109-,12.23,-60.82,50822.0503,1.03E-06
GRB 990123-,320.61,-60.81,51201.55535,3.84E-07
GRB 980310-,75.19,-60.72,50882.02534,5.78E-08
4B 920314-,0,-60.48,48695.40407,4.61E-08
GRB 980310-,242.41,-60.47,50882.58173,5.26E-07
GRB 990523-,235.96,-60.41,51321.58248,3.13E-07
GRB 990424-,88.87,-60.33,51292.1337,0.000010227
4B 960207,29.11,-60.26,50120.6748,0.000000441
GRB 981011,37.91,-60.07,51097.81662,NaN
4B 940206-,144.2,-59.96,49389.00599,5.78E-05
GRB 991122,214.84,-59.79,51504.3066,0.000001084
GRB 000412,201.37,-59.78,51646.48811,3.59E-07
4B 960623-,163.7,-59.73,50257.38314,0.000000077
GRB 971011,206.08,-59.72,50732.49366,3.61E-07
GRB 970704-,210.7,-59.65,50633.53667,1.99E-07
4B 941116,125.94,-59.46,49672.8059,3.49E-07
4B 940717-,102.21,-59.36,49550.36646,3.06E-07
GRB 990904-,226.37,-59.34,51425.61138,NaN
GRB 990312,107.35,-59.17,51249.37762,NaN
4B 910816-,221.03,-59.09,48484.50835,0.000000301
GRB 961228-,4.15,-59.06,50445.99906,0.00000544
4B 920302-,115.28,-58.92,48683.01023,5.12E-07
4B 950409,47.14,-58.72,49816.27268,NaN
4B 920925-,129.72,-58.69,48890.36851,NaN
GRB 970716,114.19,-58.52,50645.17607,5.79E-07
4B 950602,41.45,-58.5,49870.29621,0.00000451
GRB 970903-,237.75,-58.44,50694.7258,NaN
4B 910629-,69.24,-58.42,48436.21928,9.62E-08
GRB 990412,135.82,-58.3,51280.46008,6.08E-08
GRB 990304-,8.32,-58.25,51241.4275,0.000001285
4B 910717-,249.84,-58.21,48454.18963,1.93E-06
4B 940512-,330.56,-58.19,49484.91123,1.43E-07
4B 940616-,165.04,-58.18,49519.20979,2.22E-06
GRB 980423,161.19,-58.04,50926.11506,2.07E-07
4B 960815,265.33,-58.01,50310.41698,2.86E-06
GRB 000103,167.9,-57.99,51546.98274,5.74E-06
