name,time,ra,dec,redshift,fluence
GRB 790313,43945.72569,,,,0.000081
GRB 790314,43946.52847,,,,0.0000024
GRB 790318,43950.97778,,,,0.0000012
GRB 790323,43955.98542,,,,0.000034
GRB 790324,43956.67083,,,,0.000001
GRB 790325A,43957.08125,,,,0.0000015
GRB 790325B,43957.57019,,,,0.000087
GRB 790325B,43957.57052,,,,0.000087
GRB 790325B,43957.56944,,,,0.000087
GRB 790327A,43959.4375,,,,0.00000035
GRB 790327B,43959.68542,,,,0.00001
GRB 790329,43961.93755,,,,0.000065
GRB 790329,43961.93542,,,,0.000065
GRB 790331,43963.87679,,,,0.000079
GRB 790331,43963.88161,,,,0.000079
GRB 790331,43963.8769,,,,0.000079
GRB 790331,43963.87639,,,,0.000079
GRB 790402A,43965.05972,,,,0.0000023
GRB 790402B,43965.40487,,,,0.000113
GRB 790402B,43965.40487,,,,0.000113
GRB 790402B,43965.40278,,,,0.000113
GRB 790404,43967.02986,,,,0.00000077
GRB 790405,43968.15764,,,,0.0000003
GRB 790406,43969.48689,,,,0.000012
GRB 790406,43969.48699,,,,0.000012
GRB 790406,43969.49129,,,,0.000012
GRB 790406,43969.48594,,,,0.000012
GRB 790406,43969.48681,,,,0.000012
GRB 790412A,43975.53333,,,,0.000006
GRB 790412B,43975.91836,,,,0.00004
GRB 790412B,43975.91837,,,,0.00004
GRB 790412B,43975.91875,,,,0.00004
GRB 790415,43978.54653,,,,0.0000016
GRB 790418,43981.32272,,,,0.000112
GRB 790418,43981.32303,,,,0.000112
GRB 790418,43981.32014,,,,0.000112
GRB 790418,43981.32051,,,,0.000112
GRB 790418,43981.32222,,,,0.000112
GRB 790419B,43982.67623,,,,0.00041
GRB 790419B,43982.67066,,,,0.00041
GRB 790419B,43982.67014,,,,0.00041
GRB 790424A,43987.44306,,,,0.0000007
GRB 790424B,43987.76875,,,,0.0000004
GRB 790430A,43993.83681,,,,0.0000038
GRB 790502,43995.18179,,,,0.000054
GRB 790502,43995.18179,,,,0.000054
GRB 790502,43995.17847,,,,0.000054
GRB 790504A,43997.35972,,,,0.0000057
GRB 790509,44002.0195,,,,0.000007
GRB 790509,44002.02212,,,,0.000007
GRB 790514,44007.74431,,,,0.0000065
GRB 790514,44007.74431,,,,0.0000065
GRB 790514,44007.74306,,,,0.0000065
GRB 790515,44008.60417,,,,0.0000017
GRB 790519,44012.48542,,,,0.0000036
GRB 790521,44014.52231,,,,
GRB 790524B,44017.16319,,,,0.000015
GRB 790526,44019.90903,,,,0.0000074
GRB 790529,44022.84931,,,,0.0000031
GRB 790604,44028.27292,,,,0.000016
GRB 790605,44029.73889,,,,0.0000054
GRB 790610,44034.24236,,,,0.0000061
GRB 790612A,44036.19583,,,,0.000003
GRB 790613,44037.58813,,,,0.00001
GRB 790613,44037.5884,,,,0.00001
GRB 790613,44037.58593,,,,0.00001
GRB 790613,44037.58681,,,,0.00001
GRB 790619,44043.48264,,,,0.0000002
GRB 790622,44046.02904,,,,0.000132
GRB 790622,44046.03459,,,,0.000132
GRB 790622,44046.02847,,,,0.000132
GRB 790626,44050.65267,,,,0.000026
GRB 790628A,44052.77108,,,,0.000004
GRB 790628B,44052.84514,,,,0.000035
GRB 790628B,44052.84583,,,,0.000035
GRB 790628C,44052.95347,,,,0.0000005
GRB 790705,44059,,,,0.0000015
GRB 790706,44060.51458,,,,0.0000006
GRB 790709,44063.70764,,,,0.00000047
GRB 790712,44066.17014,,,,0.000001
GRB 790720,44074.88958,,,,0.0000046
GRB 790728,44082.11389,,,,0.0000014
GRB 790731,44085.45343,,,,0.000095
GRB 790731,44085.44484,,,,0.000095
GRB 790731,44085.45,,,,0.000095
GRB 790810,44095.17431,,,,0.0000007
