name,ra,dec,time,fluence
GRB121014638,320.36,-44.12,56214.6382,1.30E-07
GRB101004426,232.22,-43.99,55473.42627,9.03E-06
GRB090514734,316.0333,-43.9667,54965.73397,9.55E-06
GRB090928646,103.91,-43.53,55102.64566,1.95E-06
GRB150418819,312.43,-43.53,57130.81909,6.41E-07
GRB090630311,146.55,-46.58,55012.31066,1.08E-06
GRB090320418,238,-46.5,54910.41789,1.00E-06
GRB150908408,157.13,-46.43,57273.40762,3.49E-06
GRB120304248,277.28,-46.22,55990.24847,0.000011435
GRB110125894,331.35,-46.21,55586.89408,8.63E-07
GRB150222450,170.3,-46.2,57075.45009,0.000019539
GRB100718160,121.83,-46.18,55395.15983,2.75E-06
GRB100918863,308.41,-45.96,55457.86271,0.000089243
GRB100424729,246.72,-48.85,55310.72928,7.41E-06
GRB120314412,17.89,-48.73,56000.41151,1.64E-07
GRB150301045,244.286,-48.697,57082.04478,1.81E-07
GRB160223670,18.11,-48.54,57441.66992,0.00001217
GRB150820880,258.65,-48.33,57254.88004,3.43E-07
GRB130919985,242.22,-48.29,56554.98488,3.36E-06
GRB160227831,123.43,-48.27,57445.83132,0.000016614
GRB120212353,303.4,-48.1,55969.35263,5.09E-08
GRB150322066,125.84,-48.05,57103.06601,3.63E-06
GRB140608153,151.22,-50.26,56816.15348,0.000012302
GRB091207333,12.67,-50.19,55172.33345,5.37E-06
GRB120709883,318.4,-50.1,56117.88311,0.000013729
GRB100819498,279.6,-50.04,55427.49763,3.32E-06
GRB150923864,67.23,-50.01,57288.86416,1.58E-06
GRB141012773,286.82,-49.88,56942.77312,6.64E-06
GRB121205507,238.59,-49.71,56266.507,1.33E-07
GRB101013412,292.08,-49.64,55482.41161,6.41E-06
GRB160609941,70.29,-51.13,57548.94087,2.13E-06
GRB101014175,26.94,-51.07,55483.17491,0.00020146
GRB150718656,124.75,-51.04,57221.65609,1.11E-06
GRB090805622,300.027,-50.8446,55048.62174,5.79E-06
GRB160905471,162.245,-50.8014,57636.47148,0.000073168
GRB110706477,94.15,-50.77,55748.47657,6.72E-06
GRB081215880,228.6,-50.7,54815.87978,1.78E-06
GRB150922883,274.14,-50.47,57287.88302,6.48E-07
GRB140605377,121.79,-53.86,56813.37698,8.03E-07
GRB150601904,79.67,-53.82,57174.90359,1.27E-07
GRB150913161,241.05,-53.79,57278.16108,0.000010365
GRB110930564,187.31,-53.66,55834.56425,6.23E-06
GRB150422294,156.02,-53.56,57134.2941,2.45E-06
GRB130906435,279.39,-53.38,56541.43502,8.24E-07
GRB080804972,328.7,-53.2,54682.97239,9.13E-06
GRB100204566,273.07,-52.78,55231.56578,0.000003775
GRB130228212,240.75,-55.21,56351.21247,0.000017485
GRB080928628,95.1,-55.2,54737.62843,0.000001165
GRB090213236,330.6,-55,54875.23571,1.10E-06
GRB081129161,63.2,-54.9,54799.16116,0.000016194
GRB120331055,26.37,-54.84,56017.05494,6.77E-07
GRB090720710,203,-54.8,55032.71038,0.000014237
GRB161020024,161.031,-54.7687,57681.02415,8.08E-07
GRB100715477,299.27,-54.71,55392.47729,2.55E-06
