name,ra,dec
3FGL J1113.1-4515,168.286,-45.2514
3FGL J2022.2-4515,305.5716,-45.2503
3FGL J1015.2-4512,153.8065,-45.2131
3FGL J0833.1-4511e,128.2872,-45.1901
3FGL J0835.3-4510,128.8378,-45.1783
3FGL J1526.3-4505,231.5864,-45.0861
3FGL J0854.8-4503,133.7108,-45.0616
3FGL J0335.3-4459,53.8297,-44.9983
3FGL J0050.0-4458,12.5135,-44.9717
3FGL J0830.5-4452,127.6352,-44.8689
3FGL J1615.6-4450,243.914,-44.8374
3FGL J1753.6-4447,268.4044,-44.793
3FGL J1107.4-4447,166.8575,-44.7889
3FGL J1736.2-4444,264.055,-44.7466
3FGL J1604.4-4442,241.1086,-44.7148
3FGL J0226.5-4442,36.6314,-44.7142
3FGL J1517.6-4442,229.4048,-44.7018
3FGL J1830.0-4439,277.5074,-44.6576
3FGL J1650.0-4438c,252.5065,-44.6387
3FGL J1430.8-4434,217.7131,-44.5687
3FGL J2007.8-4429,301.9708,-44.4982
3FGL J1709.7-4429,257.4318,-44.4874
3FGL J1254.9-4423,193.7419,-44.3933
3FGL J2230.6-4419,337.6691,-44.3312
3FGL J1333.8-4417,203.4541,-44.2886
3FGL J0647.1-4415,101.7765,-44.2584
3FGL J1353.1-4414,208.2834,-44.2451
3FGL J0133.0-4413,23.2521,-44.2316
3FGL J1213.9-4412,183.4862,-44.2155
3FGL J0514.6-4406,78.6746,-44.1133
3FGL J1626.3-4406,246.5793,-44.1117
3FGL J0538.8-4405,84.7091,-44.0859
3FGL J0854.4-4404,133.6205,-44.0765
3FGL J1717.6-4404,259.421,-44.0678
3FGL J1417.5-4402,214.3772,-44.0427
3FGL J0858.6-4357,134.6567,-43.9582
3FGL J1304.3-4353,196.0965,-43.8995
3FGL J0556.0-4353,89.011,-43.8878
3FGL J0415.7-4351,63.9408,-43.8649
3FGL J1652.8-4351,253.2027,-43.8566
3FGL J0449.4-4350,72.3618,-43.8364
3FGL J1036.4-4348,159.113,-43.812
3FGL J1630.3-4346,247.5936,-43.7672
3FGL J1807.5-4343,271.8879,-43.7191
3FGL J1023.9-4335,155.985,-43.5855
3FGL J1324.0-4330e,201,-43.5
3FGL J0847.4-4327,131.8634,-43.4587
3FGL J0832.8-4321,128.2146,-43.3568
3FGL J0718.7-4319,109.6903,-43.33
3FGL J1710.6-4317,257.66,-43.2894
3FGL J1849.4-4312,282.3631,-43.2067
3FGL J1325.4-4301,201.3666,-43.0305
3FGL J1307.6-4300,196.9176,-43.0007
3FGL J0626.6-4259,96.6671,-42.9978
3FGL J2046.7-4259,311.6978,-42.9841
3FGL J0857.6-4258,134.4088,-42.9824
3FGL J1407.7-4256,211.949,-42.942
3FGL J0822.6-4250e,125.66,-42.84
3FGL J1959.1-4245,299.7806,-42.7604
3FGL J0851.4-4244,132.8655,-42.7478
3FGL J1016.6-4244,154.1643,-42.7457
3FGL J0948.8-4243,147.204,-42.7211
3FGL J2130.4-4237,322.6148,-42.6315
3FGL J1314.7-4237,198.6944,-42.6271
3FGL J2139.4-4235,324.8523,-42.5985
3FGL J1012.0-4235,153.0217,-42.5982
3FGL J1022.3-4234,155.5977,-42.578
3FGL J1624.8-4233,246.2004,-42.5662
3FGL J2029.5-4232,307.3893,-42.5374
3FGL J1848.1-4230,282.0459,-42.5127
3FGL J1557.0-4225,239.2643,-42.4218
3FGL J0030.3-4223,7.5895,-42.3954
3FGL J1613.4-4222,243.3656,-42.3738
3FGL J2305.3-4219,346.3406,-42.3274
3FGL J1936.6-4215,294.1642,-42.266
3FGL J1129.4-4215,172.3578,-42.2624
3FGL J1438.6-4209,219.6686,-42.1607
3FGL J2319.2-4207,349.8043,-42.1315
3FGL J1427.9-4206,216.9914,-42.1106
3FGL J2250.3-4206,342.5836,-42.1027
3FGL J0823.3-4205c,125.8482,-42.0929
3FGL J2034.6-4202,308.6735,-42.0398
3FGL J0002.2-4152,0.5621,-41.8828
3FGL J1334.3-4152,203.5874,-41.8685
3FGL J0049.4-4149,12.3603,-41.825
3FGL J0623.1-4143,95.7795,-41.7256
3FGL J0839.6-4133,129.9201,-41.5555
3FGL J2327.2-4130,351.8248,-41.5081
3FGL J1705.5-4128c,256.3957,-41.4809
3FGL J1042.1-4126,160.5347,-41.4336
3FGL J2336.5-4116,354.134,-41.2709
3FGL J1918.2-4110,289.5691,-41.176
3FGL J2017.6-4110,304.4053,-41.1701
3FGL J0200.3-4108,30.0799,-41.1452
3FGL J1758.8-4108,269.7127,-41.1362
3FGL J0838.9-4056c,129.7449,-40.9378
3FGL J1335.2-4056,203.8084,-40.9354
3FGL J2053.4-4052,313.357,-40.8715
3FGL J1057.6-4051,164.409,-40.8616
3FGL J1624.2-4041,246.0594,-40.6865
3FGL J2324.7-4040,351.184,-40.6754
3FGL J1747.6-4037,266.9217,-40.63
3FGL J2328.4-4034,352.1129,-40.5797
3FGL J1306.8-4031,196.7246,-40.5328
3FGL J1356.3-4029,209.0806,-40.4884
3FGL J1715.4-4028,258.8515,-40.4692
3FGL J0744.8-4028,116.2181,-40.4679
3FGL J0109.9-4020,17.4821,-40.334
3FGL J1700.4-4019c,255.109,-40.3311
3FGL J0602.8-4016,90.7148,-40.2724
3FGL J0720.0-4010,110.0167,-40.1812
3FGL J1013.4-4008,153.3675,-40.1499
3FGL J0334.3-4008,53.577,-40.1478
3FGL J0922.8-3959,140.715,-39.9901
3FGL J1624.2-3957,246.0661,-39.9566
3FGL J1610.6-3956,242.6503,-39.9422
3FGL J1937.0-3956,294.2744,-39.9397
3FGL J1440.0-3955,220.0053,-39.9227
3FGL J0013.2-3954,3.3038,-39.9083
3FGL J1655.1-3954,253.784,-39.9047
3FGL J0954.8-3948,148.7121,-39.8087
3FGL J1713.5-3945e,258.39,-39.76
3FGL J0600.9-3943,90.239,-39.7173
3FGL J1733.5-3941,263.3846,-39.6994
3FGL J1802.6-3940,270.6732,-39.6741
3FGL J0533.0-3939,83.2581,-39.6644
3FGL J2243.2-3933,340.8057,-39.5646
3FGL J0158.6-3931,29.663,-39.5328
3FGL J2143.1-3928,325.7814,-39.4668
3FGL J2126.5-3926,321.6292,-39.4457
3FGL J1203.5-3925,180.8817,-39.4254
3FGL J0714.7-3924,108.6772,-39.4086
3FGL J2237.1-3921,339.2894,-39.3611
3FGL J1656.9-3919c,254.2449,-39.3274
3FGL J1721.8-3919,260.4635,-39.3256
3FGL J0121.8-3917,20.4574,-39.2861
3FGL J0703.4-3914,105.861,-39.2377
3FGL J0645.9-3914,101.4887,-39.237
3FGL J1748.5-3912,267.1313,-39.2063
3FGL J2353.7-3911,358.4401,-39.191
3FGL J0538.4-3909,84.6094,-39.1659
3FGL J1444.0-3907,221.009,-39.1299
3FGL J0238.3-3904,39.5879,-39.073
3FGL J1323.2-3901,200.8102,-39.0247
3FGL J0427.3-3900,66.836,-39.0063
3FGL J1759.2-3848,269.8144,-38.8107
3FGL J0521.9-3847,80.4764,-38.7852
3FGL J1958.0-3847,299.5182,-38.7843
3FGL J0207.9-3846,31.9847,-38.7746
3FGL J1440.4-3845,220.1188,-38.7629
3FGL J0134.3-3842,23.5775,-38.7051
3FGL J0558.1-3838,89.5392,-38.6452
3FGL J1126.7-3834,171.6887,-38.5716
3FGL J1714.5-3832,258.6428,-38.5488
3FGL J2318.6-3829,349.6658,-38.4967
3FGL J1718.1-3825,259.5447,-38.4282
3FGL J0407.1-3825,61.7958,-38.42
3FGL J1330.0-3818,202.5056,-38.3132
3FGL J1147.0-3811,176.7645,-38.1846
3FGL J0712.2-3806,108.0519,-38.1104
3FGL J1527.0-3804,231.7537,-38.0803
3FGL J0744.1-3804,116.0383,-38.074
3FGL J0428.6-3756,67.1684,-37.9357
3FGL J0533.8-3754,83.4635,-37.9053
3FGL J1347.6-3754,206.9241,-37.9033
3FGL J1454.2-3751,223.5655,-37.8565
3FGL J1259.8-3749,194.9579,-37.8257
3FGL J1359.9-3746,209.9815,-37.7763
3FGL J1409.2-3743,212.3034,-37.7216
3FGL J0420.6-3742,65.1642,-37.7149
3FGL J1037.4-3742,159.3582,-37.7145
3FGL J1052.8-3741,163.2022,-37.6955
3FGL J0000.2-3738,0.0612,-37.6484
3FGL J1047.8-3737,161.968,-37.6253
3FGL J0512.0-3737,78.0154,-37.6231
3FGL J2141.7-3734,325.4285,-37.5722
3FGL J2041.7-3732,310.4466,-37.5457
3FGL J2330.4-3726,352.6075,-37.4489
3FGL J1718.0-3726,259.5059,-37.4483
3FGL J0334.3-3726,53.582,-37.4441
3FGL J0322.5-3721,50.6426,-37.3584
3FGL J1232.5-3720,188.137,-37.3419
3FGL J1513.3-3719,228.3285,-37.3186
3FGL J1220.1-3715,185.0483,-37.2544
3FGL J1507.6-3710,226.9087,-37.1779
3FGL J0045.2-3704,11.3109,-37.0796
3FGL J1750.2-3704,267.5641,-37.0672
3FGL J1808.4-3703,272.1238,-37.0507
3FGL J1902.3-3702c,285.5791,-37.0426
3FGL J1344.5-3655,206.1258,-36.9295
3FGL J0853.0-3654,133.2735,-36.9134
3FGL J1123.9-3653,170.9904,-36.8907
3FGL J1723.6-3646,260.9193,-36.768
3FGL J2258.2-3645,344.5617,-36.75
3FGL J1106.4-3643,166.6037,-36.7327
3FGL J0229.3-3643,37.3445,-36.7312
3FGL J0948.1-3641,147.036,-36.6931
3FGL J2309.6-3633,347.4153,-36.5618
3FGL J1913.5-3631,288.385,-36.5326
3FGL J2236.0-3629,339.0059,-36.4988
3FGL J0804.0-3629,121.0238,-36.4966
3FGL J0522.9-3628,80.7416,-36.4715
3FGL J1514.8-3623,228.7194,-36.3854
3FGL J0336.9-3622,54.248,-36.3829
3FGL J0353.0-3622,58.2647,-36.3755
3FGL J2038.8-3613,309.7058,-36.2178
3FGL J0151.0-3609,27.7597,-36.1557
3FGL J0403.9-3604,60.9938,-36.0772
3FGL J0237.5-3603,39.3994,-36.0588
3FGL J1125.5-3558,171.3815,-35.97
3FGL J2325.3-3557,351.3455,-35.9546
3FGL J1725.7-3555c,261.4288,-35.9298
3FGL J0841.3-3554,130.3348,-35.9051
3FGL J0113.0-3554,18.2563,-35.9012
3FGL J2300.1-3547,345.0426,-35.7877
3FGL J2103.9-3546,315.9988,-35.7752
3FGL J0849.9-3540,132.4819,-35.6789
3FGL J1457.4-3539,224.3553,-35.6567
3FGL J0725.8-3532,111.4593,-35.5373
3FGL J1726.6-3530c,261.6673,-35.5154
3FGL J0928.9-3530,142.246,-35.5112
3FGL J0627.0-3529,96.7727,-35.4893
3FGL J1808.4-3519,272.1011,-35.3291
3FGL J0904.8-3516,136.2237,-35.2761
3FGL J1943.2-3510,295.817,-35.1679
3FGL J1747.0-3506,266.7561,-35.1072
3FGL J0212.8-3504,33.2069,-35.0682
3FGL J2222.3-3500,335.5897,-35.0124
3FGL J1823.6-3453,275.9085,-34.8949
3FGL J1637.6-3449,249.4148,-34.8222
3FGL J1225.4-3448,186.3564,-34.807
3FGL J1505.0-3432,226.2501,-34.5472
3FGL J1311.8-3430,197.959,-34.5021
3FGL J1155.4-3417,178.862,-34.2993
3FGL J2124.7-3358,321.1937,-33.9727
3FGL J1345.9-3357,206.4975,-33.9643
3FGL J1808.3-3357,272.0968,-33.9632
3FGL J2144.9-3356,326.229,-33.9355
3FGL J0536.4-3347,84.1005,-33.7879
3FGL J1628.1-3344,247.0272,-33.7417
3FGL J1717.8-3342,259.4509,-33.7003
3FGL J1316.0-3338,199.0003,-33.6486
3FGL J1007.4-3334,151.8748,-33.5759
3FGL J0614.1-3329,93.5368,-33.4949
3FGL J1714.6-3327,258.6559,-33.4566
3FGL J2036.6-3325,309.1744,-33.4269
3FGL J1539.2-3324,234.8234,-33.4142
3FGL J1754.0-3321,268.5181,-33.3634
3FGL J1742.6-3321,265.665,-33.3562
3FGL J2119.2-3313,319.82,-33.2248
3FGL J0747.2-3311,116.8145,-33.1857
3FGL J1427.6-3305,216.9093,-33.092
3FGL J1656.2-3303,254.0746,-33.0519
3FGL J1302.3-3259,195.5946,-32.9879
3FGL J1835.7-3258,278.9444,-32.9705
3FGL J2024.4-3254,306.108,-32.9047
3FGL J0351.4-3248,57.8537,-32.8005
3FGL J1154.0-3243,178.5121,-32.723
3FGL J2118.0-3241,319.511,-32.6923
3FGL J1746.8-3240,266.7057,-32.6688
3FGL J1402.7-3240,210.6897,-32.6667
3FGL J2248.6-3235,342.1615,-32.5974
3FGL J1957.0-3234,299.2515,-32.5829
3FGL J0058.0-3233,14.5128,-32.5666
3FGL J0737.2-3233,114.314,-32.5588
3FGL J1513.5-3233,228.377,-32.5532
3FGL J1024.1-3232,156.0411,-32.539
3FGL J1259.5-3231,194.8864,-32.5187
3FGL J1820.4-3217,275.1033,-32.286
3FGL J0825.8-3217,126.4536,-32.2856
3FGL J0550.6-3217,87.6622,-32.2847
3FGL J1427.8-3215,216.9597,-32.2518
3FGL J1737.3-3214c,264.3478,-32.2396
3FGL J0009.6-3211,2.4016,-32.1987
3FGL J1628.0-3203,247.0155,-32.0608
3FGL J0439.6-3159,69.9034,-31.9891
3FGL J0401.8-3144,60.4582,-31.7483
3FGL J0649.6-3138,102.4003,-31.635
3FGL J1009.0-3137,152.2509,-31.624
3FGL J1830.8-3136,277.7106,-31.6027
3FGL J1749.6-3133,267.4221,-31.5524
3FGL J1659.7-3132,254.9497,-31.5492
3FGL J0456.3-3131,74.09,-31.521
3FGL J1732.5-3130,263.1338,-31.5152
3FGL J0858.1-3130,134.5463,-31.5126
3FGL J0729.5-3127,112.3939,-31.4585
3FGL J1757.8-3126,269.4697,-31.4458
3FGL J1739.9-3124c,264.9902,-31.4029
3FGL J1054.2-3123,163.5689,-31.3918
3FGL J1010.2-3120,152.5721,-31.3395
3FGL J2047.9-3119,311.9836,-31.3243
3FGL J1018.4-3119,154.6124,-31.3231
3FGL J1553.5-3118,238.3773,-31.3061
3FGL J0238.4-3117,39.6173,-31.2948
3FGL J0615.4-3116,93.8614,-31.2715
3FGL J1945.9-3115,296.4863,-31.2628
3FGL J0707.5-3111,106.8872,-31.197
3FGL J0742.7-3110,115.6936,-31.1739
3FGL J0228.7-3106,37.1981,-31.1068
3FGL J0430.1-3103,67.5428,-31.0655
3FGL J1612.4-3100,243.1025,-31.0151
3FGL J1718.1-3056,259.5291,-30.9414
3FGL J1741.1-3053,265.2899,-30.8939
3FGL J1600.8-3053,240.2119,-30.8908
3FGL J1119.7-3046,169.9374,-30.7776
3FGL J0648.1-3045,102.0435,-30.7624
3FGL J1549.9-3044,237.4752,-30.7455
3FGL J2112.5-3044,318.1447,-30.7344
3FGL J1802.4-3043,270.6137,-30.7242
3FGL J1744.7-3043,266.1797,-30.7195
3FGL J2359.3-3038,359.8291,-30.6465
3FGL J2353.6-3037,358.4045,-30.6204
3FGL J1817.3-3033,274.3424,-30.5522
3FGL J1223.3-3028,185.8427,-30.4707
3FGL J2151.8-3025,327.9527,-30.4286
3FGL J1917.1-3024,289.2885,-30.4166
3FGL J1823.7-3019,275.927,-30.3287
3FGL J2158.8-3013,329.7203,-30.2268
3FGL J1745.1-3011,266.2971,-30.1994
3FGL J1958.2-3011,299.5747,-30.19
3FGL J0731.8-3010,112.9739,-30.1768
3FGL J1649.6-3007,252.4196,-30.1293
3FGL J0342.6-3006,55.6601,-30.1115
3FGL J1701.2-3006,255.3228,-30.1039
3FGL J2350.4-3004,357.6057,-30.0718
3FGL J1731.8-3001,262.9636,-30.0214
3FGL J1747.2-2958,266.8191,-29.982
3FGL J1346.9-2958,206.7445,-29.9725
3FGL J1800.0-2955,270.0228,-29.9262
3FGL J1509.9-2951,227.4835,-29.864
3FGL J1626.0-2951,246.5175,-29.8624
3FGL J1335.4-2949,203.8529,-29.8292
3FGL J0751.7-2944,117.9383,-29.7342
3FGL J1037.0-2934,159.2662,-29.5831
3FGL J1734.7-2930,263.6948,-29.5073
3FGL J1754.0-2930,268.5004,-29.5059
3FGL J2000.4-2926,300.1076,-29.444
3FGL J1045.7-2926,161.4429,-29.4402
3FGL J1408.0-2924,212.008,-29.4047
3FGL J1924.8-2914,291.2191,-29.2348
3FGL J1351.7-2913,207.9269,-29.2265
3FGL J0849.5-2912,132.3905,-29.2032
3FGL J1749.2-2911,267.3149,-29.1929
3FGL J1008.9-2910,152.229,-29.174
3FGL J1747.7-2904,266.9429,-29.0748
3FGL J1528.1-2904,232.0356,-29.0676
3FGL J1745.3-2903c,266.343,-29.063
3FGL J1745.6-2859c,266.4164,-28.9948
3FGL J2025.1-2858,306.2769,-28.9764
3FGL J1641.5-2856,250.3921,-28.948
3FGL J0644.6-2853,101.1593,-28.8965
3FGL J2358.3-2853,359.598,-28.891
3FGL J0032.3-2852,8.0902,-28.8767
3FGL J0308.4-2852,47.103,-28.8734
3FGL J0609.6-2851,92.4176,-28.8628
3FGL J1746.3-2851c,266.5938,-28.8627
3FGL J1703.6-2850,255.924,-28.8477
3FGL J1625.2-2845,246.3079,-28.7539
3FGL J1740.5-2843,265.125,-28.717
3FGL J2159.2-2841,329.8174,-28.6874
3FGL J1736.5-2839,264.1317,-28.654
3FGL J1002.0-2837,150.5025,-28.6281
3FGL J0540.0-2837,85.0116,-28.6268
3FGL J0304.3-2836,46.0811,-28.6089
3FGL J1725.1-2832,261.2788,-28.5393
3FGL J0939.9-2831,144.979,-28.5195
3FGL J2036.8-2830,309.2224,-28.5053
3FGL J0838.8-2829,129.7041,-28.4892
3FGL J1747.0-2828,266.7749,-28.4819
3FGL J1729.5-2824,262.3753,-28.4109
3FGL J0742.7-2824,115.6803,-28.4052
3FGL J1037.5-2821,159.3774,-28.3636
3FGL J0351.0-2816,57.769,-28.2767
3FGL J1748.3-2815c,267.0925,-28.2589
3FGL J1716.6-2812,259.1612,-28.2051
3FGL J1733.5-2811,263.3825,-28.1941
3FGL J0453.2-2808,73.3142,-28.147
3FGL J1249.1-2808,192.293,-28.1436
3FGL J2250.7-2806,342.6795,-28.1161
3FGL J1547.1-2801,236.7819,-28.0301
3FGL J2258.0-2759,344.5119,-27.9853
3FGL J0912.6-2757,138.167,-27.9576
3FGL J1057.6-2754,164.4109,-27.9081
3FGL J0535.6-2749,83.9207,-27.8167
3FGL J0348.6-2748,57.1711,-27.8052
3FGL J2130.8-2745,322.7231,-27.7658
3FGL J0116.2-2744,19.0661,-27.7404
3FGL J2151.6-2744,327.9177,-27.7363
3FGL J1351.1-2743,207.7931,-27.7203
3FGL J1210.1-2742,182.5465,-27.7143
3FGL J0159.8-2741,29.9587,-27.6962
3FGL J1518.0-2732,229.5203,-27.539
3FGL J0145.1-2732,26.2921,-27.5339
3FGL J1522.6-2730,230.662,-27.5082
3FGL J1803.1-2728,270.7856,-27.467
3FGL J1740.5-2726,265.1345,-27.45
3FGL J1816.2-2726,274.0586,-27.4461
3FGL J1809.2-2725,272.315,-27.4281
3FGL J0301.8-2721,45.4716,-27.3611
3FGL J0213.1-2720,33.2863,-27.3488
3FGL J1831.0-2714,277.7632,-27.2348
3FGL J1732.4-2709,263.1227,-27.1501
3FGL J1736.0-2701,264.0189,-27.0201
3FGL J0120.4-2700,20.1239,-27.015
3FGL J2234.1-2655,338.5303,-26.9276
3FGL J1016.9-2653,154.2461,-26.8979
3FGL J0722.2-2648,110.551,-26.8037
3FGL J1119.8-2647,169.9706,-26.7904
3FGL J1740.5-2642,265.1366,-26.7115
3FGL J0846.8-2638,131.7156,-26.6498
3FGL J1727.7-2637,261.9458,-26.6251
3FGL J1205.8-2636,181.4639,-26.6022
3FGL J0755.2-2633,118.8017,-26.5615
3FGL J1213.1-2619,183.2997,-26.3248
3FGL J0402.1-2618,60.5495,-26.3035
3FGL J1532.0-2618,233.0137,-26.3034
3FGL J0359.3-2612,59.8371,-26.2032
3FGL J0316.1-2611,49.0477,-26.1936
3FGL J1346.2-2608,206.5695,-26.1397
3FGL J0622.4-2606,95.6091,-26.115
3FGL J0225.2-2602,36.3116,-26.038
3FGL J1153.7-2555,178.4301,-25.9298
3FGL J1544.1-2555,236.0283,-25.9205
3FGL J0021.6-2553,5.4146,-25.8867
3FGL J1513.4-2549,228.3685,-25.8271
3FGL J0125.4-2548,21.3656,-25.8095
3FGL J1246.7-2547,191.6888,-25.7912
3FGL J2142.2-2546,325.5703,-25.7812
3FGL J0947.1-2542,146.7893,-25.7087
3FGL J2243.4-2541,340.8643,-25.6945
3FGL J0447.1-2540,71.7949,-25.6757
3FGL J1741.9-2539,265.4759,-25.6624
3FGL J1754.0-2538,268.5084,-25.6486
3FGL J0343.2-2534,55.8245,-25.5675
3FGL J2213.1-2532,333.2827,-25.5349
3FGL J1046.9-2531,161.7281,-25.5258
3FGL J1123.3-2529,170.8412,-25.4941
3FGL J0523.3-2528,80.8392,-25.4763
3FGL J1625.7-2527,246.4452,-25.4556
3FGL J1559.8-2525,239.9656,-25.422
3FGL J1702.1-2524,255.5304,-25.4128
3FGL J1845.5-2524,281.387,-25.4096
3FGL J0744.1-2523,116.0447,-25.3994
3FGL J1617.3-2519,244.3479,-25.3315
3FGL J0047.5-2516,11.8866,-25.275
3FGL J2131.8-2516,322.9536,-25.2711
3FGL J1737.9-2511,264.4761,-25.1858
3FGL J1858.4-2509,284.6011,-25.1543
3FGL J1406.0-2508,211.5218,-25.1477
3FGL J0430.2-2508,67.552,-25.1374
3FGL J1744.5-2506,266.1357,-25.1003
3FGL J1220.0-2502,185.0112,-25.0436
3FGL J0038.0-2501,9.5085,-25.032
3FGL J0440.3-2500,70.0821,-25.0149
3FGL J0054.8-2455,13.7234,-24.9235
3FGL J1824.6-2451,276.1598,-24.8603
3FGL J1806.7-2451,271.6806,-24.8551
3FGL J0958.6-2447,149.6695,-24.7977
3FGL J1748.0-2447,267.012,-24.7875
3FGL J0338.1-2443,54.5339,-24.7257
3FGL J0403.7-2442,60.9336,-24.7119
3FGL J1719.2-2433,259.8186,-24.5514
3FGL J1421.0-2431,215.2605,-24.528
3FGL J1628.2-2431c,247.0692,-24.528
3FGL J0137.6-2430,24.4147,-24.5104
3FGL J0618.2-2429,94.5665,-24.4954
3FGL J1626.2-2428c,246.5721,-24.4669
3FGL J1038.0-2425,159.5194,-24.431
3FGL J0156.5-2423,29.128,-24.3925
3FGL J0340.4-2423,55.1044,-24.3871
3FGL J1517.6-2422,229.421,-24.3756
3FGL J1553.3-2421,238.3488,-24.3593
3FGL J0816.7-2421,124.1802,-24.3573
3FGL J0828.8-2420,127.208,-24.3401
3FGL J1416.1-2417,214.0391,-24.2989
3FGL J1828.9-2417,277.2454,-24.2917
3FGL J0105.1-2415,16.2905,-24.2594
3FGL J1400.2-2413,210.0668,-24.2317
3FGL J1810.8-2412,272.715,-24.2124
3FGL J2200.9-2412,330.2401,-24.2041
3FGL J1304.2-2411,196.0606,-24.1938
3FGL J1729.7-2408,262.4348,-24.1371
3FGL J0303.4-2407,45.871,-24.1226
3FGL J0630.9-2406,97.7469,-24.1101
3FGL J1837.3-2403,279.3302,-24.0596
3FGL J1338.6-2403,204.6659,-24.0538
3FGL J1758.8-2402,269.7049,-24.0367
3FGL J1800.8-2402,270.2216,-24.0351
3FGL J0345.1-2353,56.2942,-23.8862
3FGL J1312.7-2349,198.1974,-23.823
3FGL J1758.8-2346,269.7072,-23.7833
3FGL J2335.6-2342,353.9005,-23.7131
3FGL J0434.4-2341,68.6235,-23.6945
3FGL J1057.3-2341,164.3431,-23.6933
3FGL J0008.6-2340,2.1743,-23.6721
3FGL J0040.5-2339,10.1471,-23.6513
3FGL J0846.9-2336,131.7498,-23.604
3FGL J1045.5-2335,161.3972,-23.5914
3FGL J0634.7-2334,98.6771,-23.5747
3FGL J1809.8-2332,272.463,-23.5441
3FGL J2024.8-2331,306.2096,-23.528
3FGL J1621.1-2331,245.2788,-23.5227
3FGL J1103.5-2329,165.8948,-23.4897
3FGL J1801.3-2326e,270.34,-23.44
3FGL J0457.0-2324,74.2639,-23.412
3FGL J0031.2-2320,7.813,-23.3427
3FGL J2235.6-2319,338.9113,-23.3287
3FGL J1214.4-2315,183.6024,-23.2625
3FGL J0123.7-2312,20.9281,-23.2027
3FGL J2006.0-2311,301.5063,-23.1934
3FGL J1259.0-2310,194.7724,-23.1829
3FGL J0608.2-2306,92.0642,-23.1095
3FGL J1616.8-2300,244.219,-23.0108
3FGL J0921.0-2258,140.2518,-22.9668
3FGL J1512.2-2255,228.0748,-22.9312
3FGL J1744.7-2252,266.1809,-22.8695
3FGL J1548.8-2250,237.2148,-22.849
3FGL J1156.7-2250,179.1811,-22.8466
3FGL J1528.7-2247,232.175,-22.7871
3FGL J1855.1-2243,283.796,-22.7169
3FGL J1207.6-2232,181.9204,-22.5404
3FGL J1614.5-2231,243.6295,-22.5224
3FGL J0825.9-2230,126.4983,-22.505
3FGL J0126.1-2227,21.5298,-22.4643
3FGL J1159.3-2226,179.8256,-22.4403
3FGL J0312.7-2222,48.1757,-22.3709
3FGL J1750.9-2220,267.7426,-22.3448
3FGL J1258.7-2219,194.6942,-22.3297
3FGL J0252.8-2218,43.2007,-22.3105
3FGL J0039.0-2218,9.7505,-22.3068
3FGL J1858.2-2215,284.5588,-22.2503
3FGL J1801.6-2213,270.4001,-22.2198
3FGL J0748.8-2208,117.2021,-22.1347
3FGL J1119.9-2204,169.9845,-22.0673
3FGL J1254.1-2203,193.5324,-22.0598
3FGL J0919.5-2200,139.8834,-22.0054
3FGL J1006.7-2159,151.6998,-21.9854
3FGL J1312.5-2155,198.1255,-21.9322
3FGL J1645.7-2149,251.4482,-21.8241
3FGL J1803.1-2147,270.7828,-21.7869
3FGL J1306.8-2146,196.7143,-21.7775
3FGL J2330.8-2144,352.7094,-21.746
3FGL J0118.8-2142,19.707,-21.7079
3FGL J1759.6-2141,269.9104,-21.6919
3FGL J1159.2-2141,179.825,-21.6845
3FGL J1805.6-2136e,271.4083,-21.6117
3FGL J2134.5-2131,323.6463,-21.5217
3FGL J0905.8-2127,136.4579,-21.4611
3FGL J1458.7-2120,224.6875,-21.3346
3FGL J2010.0-2120,302.5056,-21.3343
3FGL J0447.8-2119,71.9657,-21.3288
3FGL J0340.5-2119,55.1406,-21.3215
3FGL J0056.3-2116,14.0763,-21.2801
3FGL J0936.3-2114,144.0999,-21.2453
3FGL J0117.8-2113,19.4516,-21.2181
3FGL J1304.9-2109,196.2458,-21.1575
3FGL J0912.9-2104,138.2477,-21.0771
3FGL J1923.5-2104,290.8854,-21.0726
3FGL J1833.6-2103,278.4107,-21.0569
3FGL J0349.9-2102,57.4778,-21.0486
3FGL J1125.0-2101,171.2547,-21.0223
3FGL J0610.2-2059,92.5541,-20.9908
3FGL J1625.6-2058,246.4217,-20.9788
3FGL J1741.9-2054,265.4909,-20.9139
3FGL J1341.9-2053,205.4903,-20.8949
3FGL J2359.5-2052,359.8812,-20.8826
3FGL J1819.5-2045c,274.8757,-20.7664
3FGL J1100.2-2044,165.0551,-20.747
3FGL J1607.9-2040,241.987,-20.6694
3FGL J0927.9-2037,141.9982,-20.6197
3FGL J0553.5-2036,88.3825,-20.6006
3FGL J1030.4-2030,157.6079,-20.5074
3FGL J2142.6-2029,325.6564,-20.4987
3FGL J1714.1-2029,258.5332,-20.4963
3FGL J2232.9-2021,338.2379,-20.3581
3FGL J1748.9-2021,267.2355,-20.3544
3FGL J0836.5-2020,129.1405,-20.3441
3FGL J1809.2-2016c,272.3245,-20.2822
3FGL J0525.8-2014,81.4509,-20.2483
3FGL J2256.7-2011,344.1893,-20.1882
3FGL J1656.8-2010,254.2183,-20.1747
3FGL J0434.0-2010,68.5138,-20.1671
3FGL J1911.2-2006,287.8021,-20.1117
3FGL J0629.4-1959,97.3581,-19.9857
3FGL J1238.2-1958,189.5648,-19.9831
3FGL J1808.5-1952,272.1411,-19.8719
3FGL J0702.7-1952,105.6797,-19.8708
