name,ra,dec
3FGL J1025.1-6507,156.2918,-65.1208
3FGL J1831.6-6503,277.9186,-65.0656
3FGL J0912.2-6452,138.0712,-64.8826
3FGL J1728.0-6446,262.0097,-64.7731
3FGL J1316.2-6446,199.0629,-64.7696
3FGL J0343.3-6443,55.8275,-64.7242
3FGL J0956.7-6441,149.1854,-64.6928
3FGL J2321.2-6439,350.3178,-64.6656
3FGL J1647.1-6438,251.7806,-64.6448
3FGL J0712.2-6436,108.0701,-64.6161
3FGL J0316.2-6436,49.0501,-64.6068
3FGL J0756.3-6433,119.077,-64.563
3FGL J2133.0-6433,323.2586,-64.5535
3FGL J1558.9-6432,239.7384,-64.5413
3FGL J1356.6-6428,209.1643,-64.4799
3FGL J1503.7-6426,225.9287,-64.4493
3FGL J1431.1-6425,217.7964,-64.4228
3FGL J1754.3-6424,268.5794,-64.4048
3FGL J0101.0-6422,15.2714,-64.373
3FGL J0509.7-6418,77.4388,-64.3055
3FGL J1123.2-6415,170.8079,-64.2609
3FGL J1045.3-6414,161.3298,-64.2425
3FGL J2141.6-6412,325.4123,-64.2005
3FGL J1816.0-6407,274.0021,-64.1333
3FGL J0937.8-6407,144.475,-64.122
3FGL J0826.3-6400,126.5935,-64.0109
3FGL J0048.1-6343,12.0496,-63.7318
3FGL J1257.0-6338,194.2529,-63.6356
3FGL J1317.6-6315,199.4028,-63.2598
3FGL J1303.0-6312e,195.75,-63.2
3FGL J0700.3-6310,105.0831,-63.1811
3FGL J1018.2-6254,154.5593,-62.9049
3FGL J1212.2-6251,183.0682,-62.8519
3FGL J1513.8-6250c,228.4536,-62.8453
3FGL J1457.6-6249,224.4001,-62.8296
3FGL J0629.0-6248,97.2716,-62.8059
3FGL J1139.0-6244,174.7515,-62.7368
3FGL J1203.9-6243,180.9963,-62.7268
3FGL J0051.2-6241,12.8196,-62.6881
3FGL J1305.7-6241,196.4345,-62.6857
3FGL J1208.4-6239,182.1195,-62.6612
3FGL J1214.0-6236,183.502,-62.612
3FGL J2103.9-6233,315.9858,-62.561
3FGL J1128.7-6232,172.1944,-62.5351
3FGL J0933.9-6232,143.4812,-62.5338
3FGL J1311.8-6230,197.9682,-62.5072
3FGL J1244.2-6227,191.0591,-62.4533
3FGL J1345.1-6224,206.2976,-62.4123
3FGL J1350.4-6224,207.6223,-62.412
3FGL J1506.6-6219,226.6676,-62.3312
3FGL J1047.8-6216,161.9627,-62.2833
3FGL J1703.6-6211,255.9173,-62.1956
3FGL J0303.7-6211,45.9312,-62.1836
3FGL J1941.2-6210,295.3025,-62.1748
3FGL J0516.7-6207,79.1889,-62.1211
3FGL J1413.4-6205,213.3724,-62.0866
3FGL J0331.3-6155,52.8359,-61.928
3FGL J1236.5-6154,189.1283,-61.9043
3FGL J0116.3-6153,19.099,-61.8906
